prestador	tipo	siges_sucursal_id	empresa	sucursal	decision	motivo	discrepancia_km_o_location_type	formatted_address
SAN JUAN	coord	5013	Arcos Dorados (Mc Donalds)	JN2 - San Juan 2 (15)	DEJADO	ningún candidato ROOFTOP en 'RIVADAVIA' (estado=ambigua)	0:GEOMETRIC_CENTER,1:GEOMETRIC_CENTER	Jose Bonifacio Bolaños, J5406 Rivadavia, San Juan, Argentina; José Hernandez, J5400 Rivadavia, San Juan, Argentina
SAN JUAN	coord	754	Disco	SM 193	DEJADO	ningún candidato ROOFTOP en 'DESAMPARADOS' (estado=ambigua)	0:GEOMETRIC_CENTER	Roger Ballet y Av. Libertador, J5406 San Juan, Argentina
SAN JUAN	coord	790	Disco	SM 412	DEJADO	ningún candidato ROOFTOP en 'VILLA RIVADAVIA' (estado=ambigua)	0:RANGE_INTERPOLATED,1:GEOMETRIC_CENTER	Av. del Libertador 5091, G4200 Santiago del Estero, Argentina; Av. Rivadavia, G4200 Santiago del Estero, Argentina
SAN JUAN	coord	792	Disco	SM 414	DEJADO	ningún candidato ROOFTOP en 'BARRIO OBRERO RAWSON' (estado=ambigua)	0:ROOFTOP	Blvd. Sarmiento Oeste 420, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	coord	775	Disco	SM 815	DEJADO	ningún candidato ROOFTOP en 'BARRIO OBRERO RAWSON' (estado=ambigua)	0:ROOFTOP	República del Líbano 297, J5425 Rawson, San Juan, Argentina
SAN JUAN	coord	4105	JRASA	SM 544 San Juan	DEJADO	ningún candidato ROOFTOP en 'VILLA RIVADAVIA' (estado=ambigua)	0:APPROXIMATE	Rivadavia Department, Santiago del Estero Province, Argentina
SAN JUAN	coord	1526	Molinos Río de la Plata	Los Robles	DEJADO	ningún candidato ROOFTOP en 'SANTA LUCIA' (estado=ambigua)	0:GEOMETRIC_CENTER	RN20, Santa Lucía, San Juan, Argentina
SAN JUAN	coord	1463	Molinos Río de la Plata	Santa Lucía	DEJADO	ningún candidato ROOFTOP en 'SANTA LUCIA' (estado=ambigua)	0:GEOMETRIC_CENTER	RN20, Santa Lucía, San Juan, Argentina
SAN JUAN	coord	2265	NO USAR - PST San Juan - Grupo MAURE	San Juan	DEJADO	ningún candidato ROOFTOP en 'SAN JUAN' (estado=ambigua)	0:GEOMETRIC_CENTER	J5400, San Juan Province, Argentina
SAN JUAN	coord	8225	Pago Facil	C.S. San Juan	DEJADO	ningún candidato ROOFTOP en 'SAN JUAN' (estado=ambigua)	0:APPROXIMATE	San Juan, San Juan Province, Argentina
SAN JUAN	coord	5501	Pago Facil	Libertad San Juan	DEJADO	ningún candidato ROOFTOP en 'SAN JUAN' (estado=ambigua)	0:GEOMETRIC_CENTER	Av. Circunvalación, San Juan, Argentina
SAN JUAN	coord	3387	Pertenecer SRL	San Juan	DEJADO	ningún candidato ROOFTOP en 'SAN JUAN' (estado=ambigua)	0:GEOMETRIC_CENTER	Roger Ballet y Av. Libertador, J5406 San Juan, Argentina
SAN JUAN	coord	3168	Sancor Cooperativas Limitada	Operador Comercial (Lac.  San Juan)	DEJADO	ningún candidato ROOFTOP en 'SAN JUAN' (estado=ambigua)	0:APPROXIMATE	San Juan, San Juan Province, Argentina
SAN JUAN	coord	5357	Walmart	1081 - CH+ Rawson SJ	DEJADO	ningún candidato ROOFTOP en 'BARRIO OBRERO RAWSON' (estado=ambigua)	0:GEOMETRIC_CENTER	Doctor Ortega & Las Vicentinas, J5425 Villa Krause, San Juan, Argentina
PENTACOM	coord	6701	ARSA	Congelados Centro	DEJADO	ningún ROOFTOP exacto en 'CORDOBA' (0 ROOFTOP de 4 candidatos, estado ambigua)	GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm	Avenida Malvinas Argentinas, Yofre Norte, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5012, Argentina
PENTACOM	coord	4378	Arcos Dorados (Mc Donalds)	CSC - Cordoba Shopping Center (164)	DEJADO	ningún ROOFTOP exacto en 'CORDOBA' (0 ROOFTOP de 1 candidatos, estado ambigua)	APPROXIMATE/pm	Córdoba, Córdoba Province, Argentina
PENTACOM	coord	4380	Arcos Dorados (Mc Donalds)	LIC - Hipermercado Libertad Córdoba (166)	DEJADO	ningún ROOFTOP exacto en 'CORDOBA' (0 ROOFTOP de 1 candidatos, estado ambigua)	GEOMETRIC_CENTER/pm	Manuel Cardeñosa, Córdoba, Argentina
PENTACOM	coord	5515	Banco Santander Río	531 - CRUZ DEL EJE	DEJADO	ningún ROOFTOP exacto en 'CRUZ DEL EJE' (0 ROOFTOP de 2 candidatos, estado ambigua)	GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm	Rivadavia, Cruz del Eje, Municipio de Cruz del Eje, Pedanía Cruz del Eje, Departamento Cruz del Eje, Córdoba, X5280, Argentina
PENTACOM	coord	6461	Banco Santander Río	712 - CITIBANK - Córdoba	DEJADO	ningún ROOFTOP exacto en 'CORDOBA' (5 ROOFTOP de 5 candidatos, estado ambigua)	ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP	104, Avenida Rivadavia, Zona A, Villa Parque Santa Ana, Comuna de Villa Parque Santa ana, Pedanía Lagunilla, Departamento Santa María, Córdoba, X5186, Argentina
PENTACOM	coord	6129	Banco Santander Río	Instituto universitario Aeronautico Argentino	DEJADO	ningún ROOFTOP exacto en 'CORDOBA' (0 ROOFTOP de 3 candidatos, estado ambigua)	GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm	Fuerza Aérea Argentina, Municipio de Marcos Juárez, Pedanía Espinillos, Departamento Marcos Juárez, Córdoba, X2580, Argentina
PENTACOM	coord	6237	Efectivo Si	EFECTIVO SI - Hiper Libertad Cordoba	DEJADO	ningún ROOFTOP exacto en 'CORDOBA' (1 ROOFTOP de 5 candidatos, estado ambigua)	GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm,ROOFTOP,GEOMETRIC_CENTER/pm	Avenida Sabattini, Crisol Norte, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5014, Argentina
PENTACOM	coord	3855	Galeno	CM Córdoba	DEJADO	varios ROOFTOP exactos en 'CORDOBA' (idx [0, 1])	ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP	276, Sarmiento, Centro, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina | 276, Sarmiento, San Francisco, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
PENTACOM	coord	1417	Grupo Pilar S.A.	Córdoba	DEJADO	ningún ROOFTOP exacto en 'PILAR' (0 ROOFTOP de 5 candidatos, estado ambigua)	GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm,GEOMETRIC_CENTER/pm	Ruta Provincial 34, Peruzzotti, San Francisco, Partido del Pilar, Buenos Aires, 1639, Argentina
PENTACOM	coord	4592	Manpower	CBA. Administracion Centro	DEJADO	sin candidatos (estado sin_resultados)	sin candidatos	
PENTACOM	coord	4581	Manpower	Cerro de las Rosas	DEJADO	ningún ROOFTOP exacto en 'CORDOBA' (0 ROOFTOP de 1 candidatos, estado ambigua)	GEOMETRIC_CENTER/pm	Rafael Nuñez 4663, X5000 Córdoba, Argentina
PENTACOM	coord	3426	OCA	Centro de Imposición Córdoba	DEJADO	ningún ROOFTOP exacto en 'CORDOBA' (5 ROOFTOP de 5 candidatos, estado ambigua)	ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP	84, Alvear, Laborde, Municipio de Laborde, Pedanía Ascasubi, Departamento Unión, Córdoba, 2657, Argentina
