prestador	tipo	siges_sucursal_id	empresa	sucursal	decision	motivo	discrepancia_km_o_location_type	formatted_address
SAN JUAN	pin	9108	Gobierno de San Juan	ENI Nro 65 Esc. Salvador M. Del Carril	CORREGIDO	ROOFTOP, 2237.019 km, localidad 'CHIMBAS' coincide	2237.019	Escuela Nivel Inicial 65, 52 (N), Río Gallegos, Barrio Laprida, Chimbas, San Juan, 5413, Argentina
SAN JUAN	pin	12409	Gobierno de San Juan	Escuela San Juan de la Frontera	CORREGIDO	ROOFTOP, 1593.913 km, localidad 'RIVADAVIA' coincide	1593.913	Jorge Newbery 1851, J5406 Barrio Rivadavia, San Juan, Argentina
SAN JUAN	pin	4651	Gobierno de San Juan	EEE Dra. Carolina T. Garcia	CORREGIDO	ROOFTOP, 1338.299 km, localidad 'RAWSON' coincide	1338.299	Mendoza 3335, J5425 Rawson, San Juan, Argentina
SAN JUAN	pin	14524	Gobierno de San Juan	Colegio Superior Nº 1 de Rawson, Profesora IOLE LEBE PALMOLELLI DE MASCOTTI	CORREGIDO	ROOFTOP, 1337.852 km, localidad 'RAWSON' coincide	1337.852	Mendoza Sur 3712, J5400 Rawson, San Juan, Argentina
SAN JUAN	pin	3631	Gobierno de San Juan	Escuela Sup. N.º 1 de Rawson	CORREGIDO	ROOFTOP, 1337.852 km, localidad 'RAWSON' coincide	1337.852	Mendoza Sur 3712, J5400 Rawson, San Juan, Argentina
SAN JUAN	pin	14169	AGENCIA CALIDAD SAN JUAN	Centro Cívico	CORREGIDO	ROOFTOP, 759.376 km, localidad 'SAN JUAN' coincide — REVISAR: localidad = provincia, corregido con la regla literal antes del ajuste del coordinador (SAN JUAN aparece 1 vez)	759.376	Av Libertador y, J5400 San Juan, Argentina
SAN JUAN	pin	9110	Gobierno de San Juan	ENI N.º 67 13 de Junio	CORREGIDO	ROOFTOP, 620.825 km, localidad 'CHIMBAS' coincide	620.825	Centenario Este 40, J5413 Chimbas, San Juan, Argentina
SAN JUAN	coord	322	Cepas Argentinas	San Juan	ELEGIDO 0	único ROOFTOP sin partialMatch en 'SAN JUAN' — REVISAR: localidad = provincia, elegido con la regla literal antes del ajuste del coordinador (ciudad del geocode: Rivadavia)	0:ROOFTOP,1:RANGE_INTERPOLATED	Rastreador Calivar Nte. 239, J5400 Rivadavia, San Juan, Argentina
PENTACOM	pin	10779	Nación Servicios SA	San Francisco	CORREGIDO	cumple las 3 reglas	9646.144	1720, Boulevard 25 de Mayo, Roca, San Francisco, Municipio de San Francisco, Pedanía Juárez Celman, Departamento San Justo, Córdoba, 2400, Argentina
PENTACOM	pin	8312	Pago Facil	Cs Cordoba V	CORREGIDO	cumple las 3 reglas	646.173	505, Buenos Aires, Nueva Córdoba, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
PENTACOM	pin	1369	Sancor Cooperativas Limitada	San Francisco - EMPREMUT S.C.	CORREGIDO	cumple las 3 reglas	196.8	1573, Olegario Andrade, La Milka, San Francisco, Municipio de San Francisco, Pedanía Juárez Celman, Departamento San Justo, Córdoba, 2400, Argentina
PENTACOM	pin	7561	Telecom Argentina	URA Patricios	CORREGIDO	cumple las 3 reglas	195.231	2805, Avenida Leandro N. Alem, Villa Azalais, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5012, Argentina
PENTACOM	pin	309	Chubb	Córdoba 1	CORREGIDO	cumple las 3 reglas	157.856	194, Rivadavia, Luis de Tejeda, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
PENTACOM	pin	3872	Galeno - COLONOS	Centro Medico Cordoba- ART	CORREGIDO	cumple las 3 reglas	76.97	274, Sarmiento, San Francisco, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
PENTACOM	coord	7715	Banco Santander Río	Nodo 205 Ambrosio Olmos	ELEGIDO 0	único ROOFTOP exacto en la localidad	ROOFTOP,ROOFTOP	592, Avenida Hipólito Yrigoyen, Nueva Córdoba, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
PENTACOM	coord	1159	Chubb	Córdoba 2	ELEGIDO 0	único ROOFTOP exacto en la localidad	ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP	91, Corrientes, Centro, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
PENTACOM	coord	4727	Efectivo Si	EFECTIVO SI - Cordoba	ELEGIDO 0	único ROOFTOP exacto en la localidad	ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP	88, San Martín, La Peatonal, Centro, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
PENTACOM	coord	3646	Galeno	Córdoba 3 (ART) (NO USAR)	ELEGIDO 0	único ROOFTOP exacto en la localidad	ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP	165, Rosario de Santa Fe, La Peatonal, Centro, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
PENTACOM	coord	8207	Galeno - COLONOS	Centro Medico Cordoba (ANEXO)- ART	ELEGIDO 0	único ROOFTOP exacto en la localidad	ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP	142, Mariano Fragueiro, Alberdi, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
PENTACOM	coord	4561	Galeno - COLONOS	Cordoba 2	ELEGIDO 0	único ROOFTOP exacto en la localidad	ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP	142, Mariano Fragueiro, Alberdi, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
PENTACOM	coord	115	Sika	Córdoba (No esta mas)	ELEGIDO 0	único ROOFTOP exacto en la localidad	ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP,ROOFTOP	1281, Buenos Aires, Nueva Córdoba, Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina
CALETA	pin	6183	Tarjetas del Mar	Las Heras	CORREGIDO	cumple las 3 reglas	387.87	Puerto de Sta. Cruz 900, Z9017 Las Heras, Santa Cruz, Argentina
SUPERNOVA	pin	11476	Generación Mediterránea	ARROYO SECO	CORREGIDO	discrepancia 9884.937 km, ROOFTOP, localidad 'ARROYO SECO' en geocode	9884.937/ROOFTOP	Playa Hermosa, Piriapolis 100, S2128 Arroyo Seco, Santa Fe, Argentina
SUPERNOVA	pin	9707	Gefco	Maria Eugenia Marquez	CORREGIDO	discrepancia 765.582 km, ROOFTOP, localidad 'ROSARIO' en geocode	765.582/ROOFTOP	1292, Mendoza, Martin, Rosario Centro, Distrito Centro, Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, 2000, Argentina
SUPERNOVA	pin	7110	Banco Credicoop	516 - Echesortu	CORREGIDO	discrepancia 762.878 km, ROOFTOP, localidad 'ROSARIO' en geocode	762.878/ROOFTOP	Mendoza 3430, S2002PCF Rosario, Santa Fe, Argentina
