prestador	tipo	siges_sucursal_id	empresa	sucursal	decision	motivo	discrepancia_km_o_location_type	formatted_address
SAN JUAN	pin	4956	Gobierno de San Juan	Escuela 20 de Junio	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10439.426	Mendoza & General Madrid, San Juan, Argentina
SAN JUAN	pin	14102	Gobierno de San Juan	Escuela Miguel Cane de Bauchaceta	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	8196.295	Quebrada de Bauchaceta, San Juan Province, Argentina
SAN JUAN	pin	14103	Gobierno de San Juan	Escuela Martin Yanzon	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	4684.492	C. 4, San Juan, Argentina
SAN JUAN	pin	6132	Banco Santander Río	567 - San Juan Rivadavia	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1596.936	Av. Libertador - B° Gendarmería N, J5406 Rivadavia, San Juan, Argentina
SAN JUAN	pin	9146	Gobierno de San Juan	JINZ N.º 37	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1596.866	Rivadavia, San Juan Province, Argentina
SAN JUAN	pin	3606	Gobierno de San Juan	Escuela Pcial. Tec. N.º 6 La Bebida	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1594.917	9 de Julio 4327, J5406 San Juan, Argentina
SAN JUAN	pin	3623	Gobierno de San Juan	Escuela Pcia. de Salta	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1593.843	Av. Libertador - B° Gendarmería N, J5406 Rivadavia, San Juan, Argentina
SAN JUAN	pin	9119	Gobierno de San Juan	JINZ N.º 1 Juan Eugenio Seru	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1522.636	Salvador María del Carril, Colonia Fiscal, Sarmiento, San Juan, Argentina
SAN JUAN	pin	4668	Gobierno de San Juan	ENI N.º 14 Alfonsina Storni	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1516.508	9 de Julio, San Juan, Argentina
SAN JUAN	pin	4705	Gobierno de San Juan	Escuela Dr. Carlos Doncel	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1513.499	Av. 25 de Mayo, San Juan, Argentina
SAN JUAN	pin	12446	Gobierno de San Juan	EEE Cristo de la Quebrada	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1513.435	Chubut, Media Agua, San Juan, Argentina
SAN JUAN	pin	4954	Gobierno de San Juan	EEE Multiple de los Berros	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1513.435	Chubut, Media Agua, San Juan, Argentina
SAN JUAN	pin	9120	Gobierno de San Juan	JINZ Nro 10 Jose M. del Carril	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1504.736	Aranda, Tres Esquinas, Sarmiento, San Juan, Argentina
SAN JUAN	pin	5264	Gobierno de San Juan	ENI N.º 25	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1497.187	Sarmiento Department, San Juan Province, Argentina
SAN JUAN	pin	3774	Gobierno de San Juan	Escuela Dr. Albert Einstein	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1497.187	Sarmiento Department, San Juan Province, Argentina
SAN JUAN	pin	3788	Gobierno de San Juan	Escuela Falucho	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1497.187	Sarmiento Department, San Juan Province, Argentina
SAN JUAN	pin	4922	Gobierno de San Juan	Escuela Josefa R. de Garcia	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1497.187	Sarmiento Department, San Juan Province, Argentina
SAN JUAN	pin	3480	Gobierno de San Juan	JARDINES DE INFANTES NUCLEADOS ZONAL	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1439.335	25 de Mayo, San Juan, El Alcázar, Municipio de El Alcázar, Departamento Libertador General San Martín, Misiones, 3386, Argentina
SAN JUAN	pin	14317	Gobierno de San Juan	Escuela Sec. Zonda	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1401.68	Ruta Provincial 12, Villa Basilio Nievas, Zonda, San Juan, 5478, Argentina
SAN JUAN	pin	12191	Gobierno de San Juan	Escuela 11 de Septiembre	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1339.641	Almafuerte Oeste, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	3770	Gobierno de San Juan	Escuela Juan XXIII	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1339.641	Almafuerte Oeste, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	8674	Gobierno de San Juan	ENI N.º 39	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1339.409	Av. Paula Albarracín de Sarmiento, San Juan, Argentina
SAN JUAN	pin	3143	Gobierno de San Juan	Escuela Candelaria A. de Godoy	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1339.366	Calle Martín Güemes & Yapeyú, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	5049	Gobierno de San Juan	Escuela Leopoldo Corretjer	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1339.366	Calle Martín Güemes & Yapeyú, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	12268	Gobierno de San Juan	Escuela Sec. N.º 134	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1339.366	Calle Martín Güemes & Yapeyú, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	6093	Gobierno de San Juan	Escuela Capitan Carlos Moyano	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1339.285	Francia Sur & Doctor Ortega, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	3771	Gobierno de San Juan	Escuela Cecilio Avila	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1339.037	Rodas Este, J5425, San Juan, Argentina
SAN JUAN	pin	3760	Gobierno de San Juan	Escuela Gabriela Mistral	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1338.996	Tierra del Fuego Este, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	12342	Gobierno de San Juan	Escuela Jose Hernandez	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1338.996	Tierra del Fuego Este, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	4079	Gobierno de San Juan	Escuela S. J. Eudes	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1338.827	Cjón. Plana, San Juan, Argentina
