prestador	siges_sucursal_id	empresa	sucursal	categoria	decision	lat	lon	fuente	motivo_mejor_indicio	metodo
SAN JUAN	4967	Gobierno de San Juan	Unidad De Gestion Iglesia	PIN_ROTO	DEJADO				U	
SAN JUAN	775	Disco	SM 815	COORD_AMBIGUA	DEJADO				D	
SAN JUAN	4105	JRASA	SM 544 San Juan	COORD_AMBIGUA	DEJADO				J	
SAN JUAN	2265	NO USAR - PST San Juan - Grupo MAURE	San Juan	COORD_AMBIGUA	DEJADO				N	
SAN JUAN	3168	Sancor Cooperativas Limitada	Operador Comercial (Lac.  San Juan)	COORD_AMBIGUA	DEJADO				S	
PENTACOM	8757	Molino Cañuelas	Suc. Charras - SUC CERRADA	PIN_ROTO	DEJADO				"Gestión: Av. Independencia s/n, Charras. OSM solo devuelve la avenida entera (way/172486285, sin altura); ni ""Molino Cañuelas Charras"" ni ""Molino, Charras"" dan un punto. Sucursal cerrada."	
PENTACOM	11892	Mercado Libre SRL	SVC Cordoba	PIN_ROTO	DEJADO				"Gestión: Av. Circunvalación 2735 (OSM solo da la avenida en Los Boulevares). Indicios: OSM node/7067991925 ""Mercado Libre SA"" en Av. Japón (-31.3364903,-64.2049989); moovit ubica ""Mercado Libre, córdoba"" en Av. La Voz del Interior 7000 (OSM no tiene esa altura). Ninguno confirma que sea el SVC de Circunvalación 2735."	
PENTACOM	6802	CCU	CD Cordoba	PIN_ROTO	DEJADO				"Gestión: Av. Circunvalación S/N. Moovit (https://moovitapp.com/index/en/public_transit-CCU_CICSA_Centro_de_Distribuci%C3%B3n-Cordoba-site_18700768-1623): ""Av. Circunvalación sur colectora externa entre Camino a 60 y Camino a San Carlos"". OSM no tiene el CD de CCU/CICSA ni la altura; queda para geocodificar a mano con esa referencia."	
PENTACOM	6701	ARSA	Congelados Centro	COORD_AMBIGUA	DEJADO				"Gestión: Av. Malvinas Argentinas Km 8, Córdoba (OSM solo da la avenida en Yofre Norte). ARSA (Alimentos Refrigerados SA, postres SanCor) quebró en 11/2025 y cerró sus plantas; Waze lista ""ARSA - Planta Córdoba"" (https://www.waze.com/live-map/directions/ar/cordoba-province/cordoba/arsa-planta-cordoba) sin dirección; OSM no tiene ARSA ni Alimentos Refrigerados."	
PENTACOM	1417	Grupo Pilar S.A.	Córdoba	COORD_AMBIGUA	DEJADO				"Gestión dice ""Ruta 13, PILAR, Buenos Aires"" pero la planta es Molinos Pilar S.A., Ruta 13 Km 4,5, Pilar (Córdoba), CP 5972 (https://www.argentino.com.ar/molinos-pilar-sa-F1209C30113D2). Todos los candidatos previos eran de Pilar (BA). OSM no tiene el molino ni el km; corregir provincia en Gestión."	
PENTACOM	4052	OCA	SAVANTH PHARMA	COORD_AMBIGUA	DEJADO				Gestión: Ruta 19 Km 132, Villa Concepción del Tío. La planta de Savant Pharm S.A. está en Ruta Nacional 19 Km 204, El Tío, Córdoba (https://www.cuitonline.com/detalle/30669159885/savant-pharm-s.a.html y prospecto en docplayer). OSM no tiene el laboratorio ni el km; corregir dirección en Gestión.	
PENTACOM	1046	Sancor Cooperativas Limitada	Córdoba - Concesionario ABRATTE	COORD_AMBIGUA	DEJADO				"Av. San Martín 1823, Villa Carlos Paz: OSM tiene DOS casas con hn=1823 a ~1,2 km (way/999680142 Costa Azul Sur -31.4012404,-64.4678447 y way/999676920 Altos de las Vertientes -31.4075446,-64.4771586). La web no registra ""Abratte"" en esa dirección para desempatar."	
