prestador	siges_sucursal_id	empresa	sucursal	lat	lon	fuente
BAHIA	3174	Catter Meat S.A.	Bahía Blanca (Frigorífico Villa Olga)	-38.6956593	-62.366749	https://www.openstreetmap.org/way/315334622
BAHIA	11140	Provincia Microempresas	6846 - Coronel Pringles	-37.9863264	-61.3538891	https://www.openstreetmap.org/way/810129722
CATAMARCA	7210	Aerolineas Argentinas	AEROPUERTO CATAMARCA	-28.5928947	-65.752148	https://www.openstreetmap.org/way/134546260
CDU	8673	SOYCHU	Gualeguay	-33.1357808	-59.3067609	https://www.openstreetmap.org/way/1308449727 (San Jose 480, Gualeguay)
CHACO	11641	Musimundo	PTO ESPERANZA	-26.0226123	-54.6064609	https://misionesonline.net/2014/12/18/musimundo-anuncia-una-nueva-apertura-en-la-provincia-de-misiones/ (20 de Junio 464) + https://www.openstreetmap.org/way/541453085
CHACO	11607	Musimundo	TRES ISLETAS	-26.3381681	-60.4274823	https://www.openstreetmap.org/node/10254610011
INFOMAC	8341	Aerolineas Argentinas	Aeropuerto Neuquen	-38.9520969	-68.140227	https://www.openstreetmap.org/node/6352160834
INFOMAC	11174	EDERSA S.A.	ALLEN	-38.9784766	-67.8240779	https://www.openstreetmap.org/way/1005054049
INFOMAC	11849	Generación Mediterránea	FRIAS	-28.6073372	-65.1230681	https://www.openstreetmap.org/way/616831295
INFOMAC	10964	ISSN	Delegacion ISSN Cordones De Chapelco	-40.1320511	-71.225752	https://www.openstreetmap.org/node/12879399821
INFOMAC	11084	ISSN	Hotel Copahue	-37.8192311	-71.0993686	https://www.openstreetmap.org/node/1933711059
INFOMAC	14297	Lisicki Litvin	NEUQUEN - TORRE GARDEN CENTRAL TOWER	-38.9418213	-68.0596862	https://www.openstreetmap.org/way/1172617884
INFOMAC	4580	Manpower	Bariloche	-41.1339884	-71.3060312	https://www.openstreetmap.org/way/301823442
INFOMAC	11046	SINDICATO DE PETROLEO Y GAS	Edificio Meopp	-38.9578272	-68.0538145	https://www.openstreetmap.org/way/1174893465
JUJUY	229	Salta Refrescos (Región Norte)	Ledesma	-23.8146831	-64.7941258	https://www.openstreetmap.org/way/669394374
JUJUY	5336	Walmart	1031 - CH+ Jujuy	-24.2108086	-65.2887106	https://www.openstreetmap.org/way/263122025
LA RIOJA	11073	Diarco	Chilecito	-29.1741282	-67.4935147	https://www.openstreetmap.org/way/1092755223 (Diarco Chilecito, Av. Eva Peron/RN40)
LA RIOJA	11851	Generación Mediterránea	LA RIOJA	-29.3827496	-66.8332351	https://www.openstreetmap.org/way/243320997 (Central Termica La Rioja, junto a calle Los Duraznos)
LA RIOJA	5503	Pago Facil	Chango Mas Catamarca	-28.4670465	-65.7549977	https://www.openstreetmap.org/way/42389649 (ChangoMas, Av. Acosta Villafane 2420, Catamarca)
MACARONE	5534	Banco Santander Río	PDV La Ribera	-31.6508102	-60.7017195	https://www.openstreetmap.org/way/304582731 (Ribera Shopping, Dique 1 Puerto Santa Fe)
MACARONE	1268	Transfarmaco	Santa Fé	-31.6422412	-60.6952765	https://www.openstreetmap.org/way/1150215391
