grupo	prestador	tabla_km_id	empresa	sucursal	localidad	problema	evidencia	accion	confianza
g1_sanjuan_a	SAN JUAN	91395f08-5980-4e8d-9121-1f8d4839a608	Gobierno de San Juan	BATALLA DE MAIPU	CALINGASTA	pin en Rivadavia/Zonda (-31.559,-68.747), escuela real en Tamberías, Calingasta: 23,6 km cargados vs ~180 reales	search OSM: Escuela Batalla de Maipú, Sarmiento, Tamberías, Calingasta -31.4571846,-69.4218588; route GI->Villa Calingasta 173,5 km	PIN_MANUAL -31.4571846,-69.4218588 fuente=https://www.openstreetmap.org/node/13900321404 + RECALCULAR_KM	alta
g1_sanjuan_a	SAN JUAN	4c835402-3c84-41e6-99fe-bec0e91a5bc0	Gobierno de San Juan	EEE Jose de Cupertino	RIVADAVIA	pin en Mendoza (-33.194,-68.464), 225 km cargados; escuela real en Rivadavia SJ a ~6 km	"search OSM: parada ""Escuela José de Cupertino"", Pje. República Argentina, Bº ATE-API, Rivadavia -31.5132639,-68.5698885 (coincide con geocode de calle Anzorena -31.5127,-68.5750)"	PIN_MANUAL -31.5132639,-68.5698885 fuente=https://www.openstreetmap.org/node/8410690854 + RECALCULAR_KM	alta
g1_sanjuan_a	SAN JUAN	0ec3a936-43d0-4e54-bbb4-96edde1f5470	Gobierno de San Juan	Escuela Autonomia Ciudad de Bailen	SAN MARTIN	pin en San Luis (-33.320,-66.349), 328 km cargados; escuela real en Dos Acequias, San Martín SJ (~15 km)	search OSM: Escuela Autonomía Ciudad de Bailén, Guillermo Rawson, Dos Acequias, San Martín -31.5347946,-68.3994623. Misma escuela que JINZ N.º 12 Auton. Cdad. de Bailen (ff7c9fd4, g2, 212 km): mismo problema	PIN_MANUAL -31.5347946,-68.3994623 fuente=https://www.openstreetmap.org/way/690541545 + RECALCULAR_KM	alta
g1_sanjuan_a	SAN JUAN	9a96eed0-b25c-4e3b-ba8e-36b6b874e359	Gobierno de San Juan	CENTRO DE CONVENCIONES	SAN JUAN	pin 3,5 km al SO del Centro de Convenciones real (Las Heras, Desamparados); impacto nulo (5,5 km, factura 0)	search OSM: Centro de Convenciones Intendente Guillermo Barrena Guzmán -31.5328379,-68.5383366	PIN_MANUAL -31.5328379,-68.5383366 fuente=https://www.openstreetmap.org/node/13915501441 + RECALCULAR_KM	alta
g1_sanjuan_a	SAN JUAN	91ed0855-7a3e-4e34-b2d1-7846de179de0	Gobierno de San Juan	Escuela Dean G. Funes	JACHAL	pin en centroide depto. Jáchal; escuela real en Boca de la Quebrada (Martín Fierro)	pin = centroide del depto. Jáchal (geocode APPROXIMATE), 40 km al este del pueblo; 213,3 km cargados. route GI->Jáchal pueblo 159,4 km (coincide con Abuelito Sarmiento d48fca9a), VF->Jáchal 201,5 km. search OSM: Escuela Dean Gregorio Funes -30.1496683,-68.6608104	PIN_MANUAL -30.1496683,-68.6608104 fuente=https://www.openstreetmap.org/way/688801862 + RECALCULAR_KM	alta
g1_sanjuan_a	SAN JUAN	56f1f656-89ed-4c26-bd09-8c74f5261899	Gobierno de San Juan	Escuela Cap. Frag. H. Buchardo	JACHAL	"pin en centroide depto. Jáchal; escuela real en Mogna (Santa Bárbara S/N, cf. fila g2 08073598 ""Sta. Barbabra S/N Mogna"", negociada 290)"	pin = centroide del depto. Jáchal (geocode APPROXIMATE), 40 km al este del pueblo; 213,3 km cargados. route GI->Jáchal pueblo 159,4 km (coincide con Abuelito Sarmiento d48fca9a), VF->Jáchal 201,5 km. search OSM: Mogna, Jáchal -30.6953161,-68.3603969 (pueblo, no la escuela). Escuela Lorenzo Luzuriaga (Mogna, 3179fc95) mide 122,7 km	PIN_MANUAL -30.6953161,-68.3603969 fuente=https://www.openstreetmap.org/node/198404320 + RECALCULAR_KM	media
g1_sanjuan_a	SAN JUAN	bef36a4d-685b-4b74-8b20-dcfd453de8e0	Gobierno de San Juan	Escuela Agrotecnica Manuel Belgrano	JACHAL	pin en centroide depto. Jáchal; RN150 km 3 está junto al pueblo de Jáchal	"pin = centroide del depto. Jáchal (geocode APPROXIMATE), 40 km al este del pueblo; 213,3 km cargados. route GI->Jáchal pueblo 159,4 km (coincide con Abuelito Sarmiento d48fca9a), VF->Jáchal 201,5 km. search OSM ""Escuela Agrotécnica Manuel Belgrano, Jáchal"": sin resultados"	GESTION (pin en Jáchal pueblo, RN150 km 3 ≈ -30.24,-68.72) + RECALCULAR_KM	media
g1_sanjuan_a	SAN JUAN	eefee21d-557c-407e-b107-b8b54f0d1dbc	Gobierno de San Juan	Escuela Esteban A. Gascon	JACHAL	"pin en centroide depto. Jáchal (""Ex Ruta Nac. S/N"")"	"pin = centroide del depto. Jáchal (geocode APPROXIMATE), 40 km al este del pueblo; 213,3 km cargados. route GI->Jáchal pueblo 159,4 km (coincide con Abuelito Sarmiento d48fca9a), VF->Jáchal 201,5 km. search OSM ""Escuela Esteban Gascón, Jáchal"": sin resultados"	GESTION (ubicar la escuela; km esperado ~160 desde GI, no 213) + RECALCULAR_KM	media
g1_sanjuan_a	SAN JUAN	6f652e17-c034-4046-ad03-81ddb905af15	Gobierno de San Juan	Colegio Sec. Parque Rivadavia Norte	RIVADAVIA	fila vacía con pin en Bs.As./La Pampa (-35.582,-63.109)	search OSM: Colegio Provincial Barrio Parque Rivadavia Norte, María Eva Duarte de Perón, Bº Rivadavia Norte -31.5132063,-68.5814148	PIN_MANUAL -31.5132063,-68.5814148 fuente=https://www.openstreetmap.org/node/11192328286	alta
g1_sanjuan_a	SAN JUAN	be136290-7ba3-4e39-95a9-1c6e8b42a7b5	Gobierno de San Juan	E.P.E.T. Nro 6 LA BEBIDA	RIVADAVIA	fila vacía con pin en centroide de Argentina (-38.416,-63.617)	search OSM: Escuela de Educación Técnica 6, Chubut 8795 (O), Comuna La Bebida, Rivadavia -31.5393423,-68.6295607	PIN_MANUAL -31.5393423,-68.6295607 fuente=https://www.openstreetmap.org/node/10254694222	alta
g1_sanjuan_a	SAN JUAN	554cd4d0-1c2f-4439-909c-192b0893d234	Gobierno de San Juan	E.P.E.T. N° 8 SAN JUAN	SANTA LUCIA	fila vacía con pin en Villa María, Córdoba (-32.410,-63.244)	search OSM: Escuela EPET Nº 8, Av. Libertador Gral. San Martín 3411 (E), Santa Lucía -31.5338375,-68.4810392 (número de calle coincide)	PIN_MANUAL -31.5338375,-68.4810392 fuente=https://www.openstreetmap.org/node/6634718953	alta
g1_sanjuan_a	SAN JUAN	48c1d576-f1b3-40ef-82d7-ee11a556bd72	Gobierno de San Juan	Escuela Dr. Saturnino Salas	CAUCETE	"fila vacía con pin en el Obelisco, CABA (-34.604,-58.382; geocode de ""Buenos Aires S/N"")"	search OSM: Escuela Doctor Saturnino Salas, Manuel Belgrano, El Rincón, Caucete -31.6692284,-68.3185976	PIN_MANUAL -31.6692284,-68.3185976 fuente=https://www.openstreetmap.org/way/692370573	alta
g1_sanjuan_a	SAN JUAN	cfe9b802-050b-4c48-ac23-c9638a496907	Gobierno de San Juan	Escuela Cruce de los Andes	RIVADAVIA	fila vacía con pin en centroide de Argentina	search OSM: Escuela Cruce de Los Andes, República del Líbano 4892 (O), Comuna Sur, Rivadavia -31.5488983,-68.5900694	PIN_MANUAL -31.5488983,-68.5900694 fuente=https://www.openstreetmap.org/node/9344220126	alta
g1_sanjuan_a	SAN JUAN	8d44dc31-48a7-46cb-93b9-fbee0a8cf5fd	Gobierno de San Juan	Escuela Independencia Argentina	RIVADAVIA	fila vacía con pin en Bs.As./La Pampa (-35.582,-63.109)	search OSM: Escuela Independencia Argentina, Gral. Juan Lavalle, Villa Seminario, Rivadavia -31.5367249,-68.5912553	PIN_MANUAL -31.5367249,-68.5912553 fuente=https://www.openstreetmap.org/node/10270674191	alta
g1_sanjuan_a	SAN JUAN	afbd8401-0e76-4ef7-8596-5216ac5f05b1	Gobierno de San Juan	Escuela Docentes Sanjuaninos	RIVADAVIA	fila vacía con pin en centroide de Argentina	search OSM: Escuela Docentes Sanjuaninos, Esmeralda, Comuna Sur, Rivadavia -31.5536085,-68.5649516	PIN_MANUAL -31.5536085,-68.5649516 fuente=https://www.openstreetmap.org/node/10876814775	alta
g1_sanjuan_a	SAN JUAN	bc940928-900f-4700-99f3-f8d3234dcccc	Gobierno de San Juan	Escuela J.Jose de Vertiz	IGLESIA	fila vacía con pin en centroide de Argentina	search OSM: Escuela Juan José de Vertiz, Calle Principal, Bella Vista, Iglesia -30.4327478,-69.2403652	PIN_MANUAL -30.4327478,-69.2403652 fuente=https://www.openstreetmap.org/way/687481245	alta
g1_sanjuan_a	SAN JUAN	a5718054-6212-4bb6-829d-9a375ee56366	Gobierno de San Juan	C.E.N.S. TOMAS A. EDISON (Esc. Republica de Chile)	CHIMBAS	fila vacía con pin en Tucumán (-26.773,-65.204)	search OSM: Escuela República de Chile, Lateral Este Acceso Norte, Villa Mariano Moreno, Chimbas -31.4655928,-68.5182279 (barrio coincide con el domicilio)	PIN_MANUAL -31.4655928,-68.5182279 fuente=https://www.openstreetmap.org/way/706541050	alta
g1_sanjuan_a	SAN JUAN	29164f48-b7c6-4576-b69d-e095e9ffea9a	ADIUM	San Juan	SANCHEZ DE LORIA	fila vacía con pin en Neuquén (RN40 -36.967,-69.794); planta ADIUM está en Sánchez de Loria, Pocito	search OSM: Adium (industrial), Km 3453, Sánchez de Loria, Colonia Rodas, Pocito -31.6275118,-68.5318334	PIN_MANUAL -31.6275118,-68.5318334 fuente=https://www.openstreetmap.org/way/674360670	alta
g1_sanjuan_a	SAN JUAN	45e28daf-cf3f-44ad-8272-802c90a3b620	Gobierno de San Juan	Escuela Constancio C. Vigil	SARMIENTO	fila vacía con pin en centroide de Argentina	"search OSM: parada ""Escuela Constancio Vigil"", Avellaneda, Sarmiento -31.9653386,-68.3220170 (parada de colectivo, no el edificio)"	PIN_MANUAL -31.9653386,-68.3220170 fuente=https://www.openstreetmap.org/node/8591748230	media
g1_sanjuan_a	SAN JUAN	9a059730-74f7-4813-b1a2-c9c86c218c60	Gobierno de San Juan	ENI Nro 54 Santa Rosa	VILLA SANTA ROSA	fila vacía con pin en Villa Santa Rosa de CÓRDOBA (-31.153,-63.399)	search OSM: calle Antonio Torres, Villa Santa Rosa, 25 de Mayo, SJ -31.7410268,-68.3203423 (calle, sin número)	PIN_MANUAL -31.7410268,-68.3203423 fuente=https://www.openstreetmap.org/way/255098593	media
g1_sanjuan_a	SAN JUAN	31b52d17-080d-40cc-ba6b-7129e89e7e36	Gobierno de San Juan	EEE bilingue para sordos	BARRIO OBRERO RAWSON	fila vacía con pin en Rawson, CHUBUT (-43.288,-65.123)	"sin resultado OSM para la escuela; geocode ROOFTOP de Gestión ""Mendoza Sur 855"" -31.5713,-68.5317 cae en Barrio Obrero, Rawson SJ (coherente con localidad)"	PIN_MANUAL -31.5713,-68.5317 fuente=geocode ROOFTOP de Gestión (observaciones)	media
g1_sanjuan_a	SAN JUAN	6df9e3dc-6fff-4670-990e-fca88c36f1d5	Gobierno de San Juan	Escuela Albergue J. M. Estrada	BARRIO OBRERO RAWSON	fila vacía con pin en Rawson, CHUBUT (-43.288,-65.123); mismo domicilio que EEE bilingüe para sordos (31b52d17)	"ídem 31b52d17: geocode ROOFTOP ""Mendoza Sur 855"" -31.5713,-68.5317"	PIN_MANUAL -31.5713,-68.5317 fuente=geocode ROOFTOP de Gestión (observaciones)	media
g1_sanjuan_a	SAN JUAN	18d5da66-ba78-424f-9acd-a129bddc5708	Gobierno de San Juan	ENI N.º 8 Quinoa	RIVADAVIA	fila vacía con pin en Salta (-24.770,-65.423)	"search OSM ""Ibaceta y Arenales, Rivadavia"": sin resultados; geocode de Gestión de la esquina -31.5468,-68.5540 (GEOMETRIC_CENTER)"	PIN_MANUAL -31.5468,-68.5540 fuente=geocode esquina Ibaceta y Arenales (observaciones Gestión)	media
